Show,EpId,ClipId,Start,Stop,Start_5_sec,Stop_5_sec,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
HeStutters,0,36,27774880,27822880,27758880,27838880,TRUE,Pamela Mertz,0.585901916,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,37,27813440,27861440,27797440,27877440,TRUE,Pamela Mertz,0.5746366978,,train,test,test,0,0,1,0,0,0,0,1,2,0,0,0
HeStutters,0,38,29565600,29613600,29549600,29629600,TRUE,Pamela Mertz,0.5432774425,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,39,30011200,30059200,29995200,30075200,FALSE,HeStutters_0_1,0.5494836569,train,test,train,dev,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,0,2152480,2200480,2136480,2216480,TRUE,Pamela Mertz,0.5568298697,,train,test,test,0,0,0,1,2,0,1,0,0,0,0,0
HeStutters,1,1,27906400,27954400,27890400,27970400,TRUE,Pamela Mertz,0.5999943614,,train,test,test,0,0,0,0,0,1,0,1,2,0,0,0
HeStutters,1,2,28160960,28208960,28144960,28224960,TRUE,Pamela Mertz,0.6195129156,,train,test,test,0,0,1,0,0,0,0,0,2,1,0,0
HeStutters,1,3,28193760,28241760,28177760,28257760,FALSE,HeStutters_1_1,0.3859234452,train,dev,dev,train,0,0,0,1,0,0,0,3,2,1,0,0
HeStutters,1,4,28351360,28399360,28335360,28415360,TRUE,Pamela Mertz,0.314759165,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,1,5,28390400,28438400,28374400,28454400,TRUE,Pamela Mertz,0.5555472374,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0
HeStutters,1,6,28443200,28491200,28427200,28507200,TRUE,Pamela Mertz,0.3804687262,,train,test,test,0,0,0,0,0,1,0,0,2,1,0,0
HeStutters,1,7,28506080,28554080,28490080,28570080,TRUE,Pamela Mertz,0.4428032637,,train,test,test,0,0,0,0,0,3,1,0,0,1,0,0
HeStutters,1,8,28539840,28587840,28523840,28603840,TRUE,Pamela Mertz,0.2785152793,,train,test,test,0,0,0,0,0,2,0,0,1,0,0,0
HeStutters,1,9,29043360,29091360,29027360,29107360,TRUE,Pamela Mertz,0.4807916284,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,10,29077440,29125440,29061440,29141440,TRUE,Pamela Mertz,0.3935577273,,train,test,test,0,0,0,2,0,1,1,0,0,0,0,0
HeStutters,1,11,29396960,29444960,29380960,29460960,TRUE,Pamela Mertz,0.4808138907,,train,test,test,0,1,2,0,1,0,1,0,0,0,0,0
HeStutters,1,12,29445280,29493280,29429280,29509280,TRUE,Pamela Mertz,0.4799919724,,train,test,test,0,0,0,0,2,0,1,0,1,0,0,0
HeStutters,1,13,29497920,29545920,29481920,29561920,TRUE,Pamela Mertz,0.4929830432,,train,test,test,0,0,0,1,0,1,0,0,1,1,0,0
HeStutters,1,14,29571040,29619040,29555040,29635040,TRUE,Pamela Mertz,0.5251225829,,train,test,test,0,0,3,0,0,0,0,3,0,0,0,0
HeStutters,1,15,30017440,30065440,30001440,30081440,TRUE,Pamela Mertz,0.5067000389,,train,test,test,0,0,3,0,1,0,0,1,0,0,0,0
HeStutters,1,16,30052800,30100800,30036800,30116800,TRUE,Pamela Mertz,0.4815251231,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,17,5026880,5074880,5010880,5090880,TRUE,Pamela Mertz,0.6198275685,,train,test,test,0,0,0,2,1,0,1,0,0,1,0,0
HeStutters,1,18,5063040,5111040,5047040,5127040,TRUE,Pamela Mertz,0.374468416,,train,test,test,0,1,1,1,1,0,3,0,1,0,0,0
HeStutters,1,19,30230560,30278560,30214560,30294560,TRUE,Pamela Mertz,0.5498700738,,train,test,test,0,1,0,0,0,0,0,0,3,0,0,0
HeStutters,1,20,30284320,30332320,30268320,30348320,TRUE,Pamela Mertz,0.5928367972,,train,test,test,0,0,0,0,1,3,0,1,0,0,0,0
HeStutters,1,21,30707360,30755360,30691360,30771360,FALSE,HeStutters_1_1,0.1425594687,train,dev,dev,train,1,0,0,0,1,0,2,0,1,0,0,1
HeStutters,1,22,30745440,30793440,30729440,30809440,FALSE,HeStutters_1_1,0.2542596459,train,dev,dev,train,0,0,1,1,0,0,0,0,2,1,0,0
HeStutters,1,23,30771360,30819360,30755360,30835360,TRUE,Pamela Mertz,0.4956032336,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,1,24,30819840,30867840,30803840,30883840,TRUE,Pamela Mertz,0.2312233746,,train,test,test,0,0,0,1,0,1,0,3,1,1,0,0
HeStutters,1,25,30925120,30973120,30909120,30989120,TRUE,Pamela Mertz,0.4923746884,,train,test,test,0,0,1,0,0,0,0,0,1,0,0,0
HeStutters,1,26,30961440,31009440,30945440,31025440,TRUE,Pamela Mertz,0.6367003322,,train,test,test,0,0,0,1,0,0,0,2,2,0,0,0
HeStutters,1,27,31099040,31147040,31083040,31163040,TRUE,Pamela Mertz,0.4969601333,,train,test,test,0,0,3,1,0,0,1,0,0,1,0,0
HeStutters,1,28,31132480,31180480,31116480,31196480,TRUE,Pamela Mertz,0.3526392281,,train,test,test,0,1,1,0,0,1,1,2,2,0,0,0
HeStutters,1,29,31224160,31272160,31208160,31288160,TRUE,Pamela Mertz,0.6004981995,,train,test,test,0,0,2,0,0,0,1,0,1,0,0,0
HeStutters,1,30,31286560,31334560,31270560,31350560,TRUE,Pamela Mertz,0.4482068419,,train,test,test,0,0,0,1,0,0,1,0,2,0,0,0
HeStutters,1,31,31628960,31676960,31612960,31692960,TRUE,Pamela Mertz,0.2357072979,,train,test,test,0,0,1,1,0,0,1,0,1,0,0,0
HeStutters,1,32,31661920,31709920,31645920,31725920,FALSE,HeStutters_1_1,0.3458531797,train,dev,dev,train,0,0,3,0,0,0,0,3,0,0,0,0
HeStutters,1,33,31802080,31850080,31786080,31866080,FALSE,HeStutters_1_1,0.1640883833,train,dev,dev,train,0,0,0,1,3,0,0,0,0,0,0,0
HeStutters,1,34,31838240,31886240,31822240,31902240,TRUE,Pamela Mertz,0.4724841714,,train,test,test,0,0,0,0,1,1,1,1,1,0,0,0
HeStutters,1,35,31881600,31929600,31865600,31945600,TRUE,Pamela Mertz,0.5229651928,,train,test,test,0,0,1,1,2,0,1,0,0,0,0,0
HeStutters,1,36,31917440,31965440,31901440,31981440,TRUE,Pamela Mertz,0.6170733571,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0
HeStutters,1,37,5095680,5143680,5079680,5159680,TRUE,Pamela Mertz,0.5566307902,,train,test,test,0,0,0,2,3,0,1,1,0,0,0,0
HeStutters,1,38,31963680,32011680,31947680,32027680,TRUE,Pamela Mertz,0.3873849511,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,39,32034720,32082720,32018720,32098720,TRUE,Pamela Mertz,0.5606082678,,train,test,test,0,0,0,1,1,0,0,2,1,1,0,0
HeStutters,1,40,32086560,32134560,32070560,32150560,TRUE,Pamela Mertz,0.4520306587,,train,test,test,0,0,2,1,0,0,2,0,0,0,0,0
HeStutters,1,41,32346240,32394240,32330240,32410240,FALSE,HeStutters_1_1,0.07580620795,train,dev,dev,train,0,1,2,1,0,0,0,1,1,0,0,0
HeStutters,1,42,32392000,32440000,32376000,32456000,FALSE,HeStutters_1_1,0.05390907452,train,dev,dev,train,0,0,1,1,3,1,1,0,0,0,0,0
HeStutters,1,43,32695840,32743840,32679840,32759840,TRUE,Pamela Mertz,0.6102806926,,train,test,test,0,0,0,1,0,0,0,3,2,2,0,0
HeStutters,1,44,32728480,32776480,32712480,32792480,TRUE,Pamela Mertz,0.5725889802,,train,test,test,0,0,0,1,0,0,1,0,2,1,0,0
HeStutters,1,45,32800640,32848640,32784640,32864640,TRUE,Pamela Mertz,0.4556610584,,train,test,test,0,0,1,0,2,0,1,0,0,0,0,0
HeStutters,1,46,32841920,32889920,32825920,32905920,FALSE,HeStutters_1_1,0.3124547601,train,dev,dev,train,0,0,0,2,2,0,1,0,1,0,0,1
HeStutters,1,47,33042240,33090240,33026240,33106240,TRUE,Pamela Mertz,0.5454192162,,train,test,test,0,1,0,1,0,0,2,1,2,0,0,0
HeStutters,1,48,33092160,33140160,33076160,33156160,TRUE,Pamela Mertz,0.6229572892,,train,test,test,0,0,1,0,1,1,1,1,0,0,0,0
HeStutters,1,49,33136160,33184160,33120160,33200160,TRUE,Pamela Mertz,0.5265995264,,train,test,test,0,0,0,2,2,0,0,0,0,0,0,0
HeStutters,1,50,33175200,33223200,33159200,33239200,TRUE,Pamela Mertz,0.5499697328,,train,test,test,0,0,0,1,2,0,0,1,1,2,0,0
HeStutters,1,51,33325280,33373280,33309280,33389280,FALSE,HeStutters_1_1,0.358753711,train,dev,dev,train,0,0,0,1,0,3,0,0,0,0,0,0
HeStutters,1,52,33372160,33420160,33356160,33436160,FALSE,HeStutters_1_1,0.2925048769,train,dev,dev,train,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,1,53,34068000,34116000,34052000,34132000,FALSE,HeStutters_1_1,0.1658701301,train,dev,dev,train,0,0,2,2,0,0,1,0,0,0,0,0
HeStutters,1,54,34100800,34148800,34084800,34164800,FALSE,HeStutters_1_1,0.1309902817,train,dev,dev,train,0,0,3,0,1,0,1,0,0,0,0,0
HeStutters,1,55,34145280,34193280,34129280,34209280,TRUE,Pamela Mertz,0.4931984842,,train,test,test,0,0,0,1,0,0,2,0,2,0,0,0
HeStutters,1,56,34184480,34232480,34168480,34248480,FALSE,HeStutters_1_1,-0.09016686678,train,dev,dev,train,0,1,0,0,2,0,1,0,1,0,0,0
HeStutters,1,57,5247680,5295680,5231680,5311680,TRUE,Pamela Mertz,0.12118157,,train,test,test,0,0,1,0,2,0,0,0,1,1,0,0
HeStutters,1,58,5284000,5332000,5268000,5348000,TRUE,Pamela Mertz,0.6219460964,,train,test,test,0,0,0,0,0,1,1,0,2,1,0,0
HeStutters,1,59,34259040,34307040,34243040,34323040,TRUE,Pamela Mertz,0.5945858359,,train,test,test,0,0,1,0,0,0,0,2,2,0,0,0
HeStutters,1,60,34295840,34343840,34279840,34359840,TRUE,Pamela Mertz,0.1370674223,,train,test,test,0,0,1,1,2,0,1,0,0,0,0,0
HeStutters,1,61,34837280,34885280,34821280,34901280,TRUE,Pamela Mertz,0.6129013896,,train,test,test,0,0,0,1,3,0,1,2,0,0,0,0
HeStutters,1,62,34880640,34928640,34864640,34944640,FALSE,HeStutters_1_1,0.3024945855,train,dev,dev,train,0,1,0,3,1,1,3,0,0,0,0,0
HeStutters,1,63,34995840,35043840,34979840,35059840,TRUE,Pamela Mertz,0.46018067,,train,test,test,0,0,2,1,0,0,0,0,0,0,0,0
HeStutters,1,64,35047520,35095520,35031520,35111520,FALSE,HeStutters_1_1,0.3558765948,train,dev,dev,train,0,0,0,0,0,0,0,0,3,0,0,1
HeStutters,1,65,35435840,35483840,35419840,35499840,FALSE,HeStutters_1_1,0.4276331067,train,dev,dev,train,0,0,0,2,1,3,0,0,0,0,0,0
HeStutters,1,66,35470560,35518560,35454560,35534560,FALSE,HeStutters_1_1,0.4031138122,train,dev,dev,train,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,1,67,35897120,35945120,35881120,35961120,TRUE,Pamela Mertz,0.3719892204,,train,test,test,0,0,0,1,2,0,0,1,0,0,0,0
HeStutters,1,68,35930720,35978720,35914720,35994720,TRUE,Pamela Mertz,0.5502745509,,train,test,test,0,1,0,1,0,0,1,0,2,0,0,0
HeStutters,1,69,36596000,36644000,36580000,36660000,TRUE,Pamela Mertz,0.5313407779,,train,test,test,0,0,1,1,0,0,1,2,2,1,0,0
HeStutters,1,70,36630240,36678240,36614240,36694240,TRUE,Pamela Mertz,0.5432164073,,train,test,test,0,0,0,2,2,0,0,3,0,0,0,0
HeStutters,1,71,37078240,37126240,37062240,37142240,TRUE,Pamela Mertz,0.4886821508,,train,test,test,0,0,0,0,0,3,1,0,0,0,0,0
HeStutters,1,72,37112320,37160320,37096320,37176320,FALSE,HeStutters_1_1,-0.004016165156,train,dev,dev,train,0,0,3,2,0,0,2,0,0,0,0,0
HeStutters,1,73,37220480,37268480,37204480,37284480,TRUE,Pamela Mertz,0.6135776043,,train,test,test,0,0,0,1,0,1,1,0,1,0,0,0
HeStutters,1,74,37266560,37314560,37250560,37330560,FALSE,HeStutters_1_1,0.2654589713,train,dev,dev,train,0,0,1,2,1,0,3,1,0,0,0,0
HeStutters,1,75,37930720,37978720,37914720,37994720,TRUE,Pamela Mertz,0.4089892805,,train,test,test,0,0,0,3,2,0,0,0,0,0,0,0
HeStutters,1,76,37967840,38015840,37951840,38031840,TRUE,Pamela Mertz,0.5820214152,,train,test,test,0,0,0,1,0,0,1,3,2,0,0,0
HeStutters,1,77,38740320,38788320,38724320,38804320,FALSE,HeStutters_1_1,0.3790421486,train,dev,dev,train,0,0,0,2,1,0,0,0,0,0,0,0
HeStutters,1,78,38775520,38823520,38759520,38839520,FALSE,HeStutters_1_1,0.4044037759,train,dev,dev,train,0,0,0,1,0,0,0,0,2,1,0,0
HeStutters,1,79,5950880,5998880,5934880,6014880,FALSE,HeStutters_1_1,-0.0005960967392,train,dev,dev,train,0,0,0,1,0,0,1,1,2,2,0,0
HeStutters,1,80,6016640,6064640,6000640,6080640,FALSE,HeStutters_1_1,0.1431553513,train,dev,dev,train,0,0,0,1,0,3,0,1,0,0,0,0
HeStutters,1,81,38885920,38933920,38869920,38949920,FALSE,HeStutters_1_1,0.08846031129,train,dev,dev,train,0,0,1,1,1,0,1,1,0,0,0,0
HeStutters,1,82,38922880,38970880,38906880,38986880,TRUE,Pamela Mertz,0.342897594,,train,test,test,0,0,2,2,2,0,0,0,0,0,0,0
HeStutters,1,83,38993440,39041440,38977440,39057440,TRUE,Pamela Mertz,0.6057811379,,train,test,test,0,2,1,0,0,0,0,0,2,0,0,0
HeStutters,1,84,39042720,39090720,39026720,39106720,FALSE,HeStutters_1_1,0.3270052671,train,dev,dev,train,1,1,0,1,0,0,0,0,1,0,0,2
HeStutters,1,85,39087040,39135040,39071040,39151040,TRUE,Pamela Mertz,0.5157843828,,train,test,test,0,0,0,0,0,3,0,1,0,0,0,0
HeStutters,1,86,39507680,39555680,39491680,39571680,TRUE,Pamela Mertz,0.3636606932,,train,test,test,0,0,2,0,0,0,0,0,1,1,0,0
HeStutters,1,87,39564320,39612320,39548320,39628320,TRUE,Pamela Mertz,0.542767942,,train,test,test,0,0,0,2,0,0,0,0,1,1,0,0
HeStutters,1,88,39631040,39679040,39615040,39695040,TRUE,Pamela Mertz,0.5042311549,,train,test,test,0,0,0,0,2,0,0,1,1,0,0,0
HeStutters,1,89,39713600,39761600,39697600,39777600,TRUE,Pamela Mertz,0.1163914353,,train,test,test,0,0,1,0,0,0,1,0,2,1,0,1
HeStutters,1,90,39763040,39811040,39747040,39827040,TRUE,Pamela Mertz,0.617606461,,train,test,test,1,1,1,0,0,0,2,1,1,0,0,0
HeStutters,1,91,39817440,39865440,39801440,39881440,TRUE,Pamela Mertz,0.4909912944,,train,test,test,0,0,2,0,1,0,0,0,0,0,0,0
HeStutters,1,92,39910240,39958240,39894240,39974240,TRUE,Pamela Mertz,0.2763080299,,train,test,test,0,0,0,1,1,0,1,0,1,0,0,0
HeStutters,1,93,39942720,39990720,39926720,40006720,TRUE,Pamela Mertz,0.3256263435,,train,test,test,0,0,0,0,0,0,1,1,3,1,0,0
HeStutters,1,94,39987680,40035680,39971680,40051680,TRUE,Pamela Mertz,0.4378679395,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,1,95,40041440,40089440,40025440,40105440,TRUE,Pamela Mertz,0.3122281134,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,1,96,6270720,6318720,6254720,6334720,TRUE,Pamela Mertz,0.5708994865,,train,test,test,0,0,0,1,2,0,0,0,0,0,0,0
HeStutters,1,97,6303360,6351360,6287360,6367360,TRUE,Pamela Mertz,0.5441516042,,train,test,test,0,0,1,0,0,0,1,0,2,0,0,0
HeStutters,1,98,40073280,40121280,40057280,40137280,FALSE,HeStutters_1_1,0.3455063701,train,dev,dev,train,0,0,0,0,0,3,0,0,0,0,0,0
HeStutters,1,99,40635200,40683200,40619200,40699200,FALSE,HeStutters_1_1,0.334754616,train,dev,dev,train,0,0,1,0,0,0,0,1,2,1,0,0
HeStutters,1,100,40669920,40717920,40653920,40733920,FALSE,HeStutters_1_1,0.4292440414,train,dev,dev,train,0,0,0,0,2,2,0,0,0,0,0,0
HeStutters,1,101,40904160,40952160,40888160,40968160,TRUE,Pamela Mertz,0.3633157015,,train,test,test,0,0,2,1,0,0,0,1,0,0,0,0
HeStutters,1,102,40941760,40989760,40925760,41005760,TRUE,Pamela Mertz,0.5941510201,,train,test,test,0,0,1,1,0,0,1,0,1,2,0,0
HeStutters,1,103,41236960,41284960,41220960,41300960,FALSE,HeStutters_1_1,0.3542277515,train,dev,dev,train,0,0,0,0,0,0,0,2,3,0,0,0
HeStutters,1,104,41306560,41354560,41290560,41370560,TRUE,Pamela Mertz,0.3265483677,,train,test,test,0,0,0,0,0,3,1,1,0,1,0,1
HeStutters,1,105,6492320,6540320,6476320,6556320,TRUE,Pamela Mertz,0.6277362704,,train,test,test,0,0,0,0,2,0,0,0,1,0,0,0
HeStutters,1,106,6530560,6578560,6514560,6594560,TRUE,Pamela Mertz,0.4566778243,,train,test,test,0,0,0,3,0,0,3,0,0,0,0,0
HeStutters,1,107,6638560,6686560,6622560,6702560,TRUE,Pamela Mertz,0.5061914325,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,1,108,6675360,6723360,6659360,6739360,TRUE,Pamela Mertz,0.5972599983,,train,test,test,0,0,1,1,0,0,0,0,1,1,0,0
HeStutters,1,109,6978880,7026880,6962880,7042880,FALSE,HeStutters_1_1,0.4055805504,train,dev,dev,train,0,0,0,2,0,0,0,3,1,2,0,0
HeStutters,1,110,7013120,7061120,6997120,7077120,TRUE,Pamela Mertz,0.4674853384,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,1,111,7108160,7156160,7092160,7172160,TRUE,Pamela Mertz,0.6112831235,,train,test,test,0,0,0,0,0,1,1,2,2,0,0,0
HeStutters,1,112,7141120,7189120,7125120,7205120,TRUE,Pamela Mertz,0.06443653256,,train,test,test,0,1,3,1,0,0,1,0,0,0,0,0
HeStutters,1,113,7456800,7504800,7440800,7520800,TRUE,Pamela Mertz,0.3805838227,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,114,7494880,7542880,7478880,7558880,TRUE,Pamela Mertz,0.6303133965,,train,test,test,0,0,0,0,1,0,1,0,2,0,0,0
HeStutters,1,115,2648640,2696640,2632640,2712640,TRUE,Pamela Mertz,0.5241772532,,train,test,test,0,0,0,0,1,2,0,0,0,0,0,0
HeStutters,1,116,2704800,2752800,2688800,2768800,TRUE,Pamela Mertz,0.4444574416,,train,test,test,0,0,2,1,2,0,0,0,0,1,0,0
HeStutters,1,117,7921280,7969280,7905280,7985280,TRUE,Pamela Mertz,0.5370246172,,train,test,test,0,0,0,1,0,0,1,0,2,1,0,0
HeStutters,1,118,7956000,8004000,7940000,8020000,TRUE,Pamela Mertz,0.4735687077,,train,test,test,0,0,2,0,0,0,0,3,1,1,0,0
HeStutters,1,119,8123040,8171040,8107040,8187040,TRUE,Pamela Mertz,0.4765310884,,train,test,test,0,0,0,1,0,0,2,0,2,0,0,0
HeStutters,1,120,8170240,8218240,8154240,8234240,TRUE,Pamela Mertz,0.4861749113,,train,test,test,0,0,1,0,0,3,0,0,0,0,0,0
HeStutters,1,121,8976480,9024480,8960480,9040480,FALSE,HeStutters_1_1,0.3072440922,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0
HeStutters,1,122,9014560,9062560,8998560,9078560,FALSE,HeStutters_1_1,0.1130482852,train,dev,dev,train,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,1,123,9140640,9188640,9124640,9204640,TRUE,Pamela Mertz,0.3923094869,,train,test,test,0,1,1,1,0,0,2,0,2,0,0,0
HeStutters,1,124,9187840,9235840,9171840,9251840,FALSE,HeStutters_1_1,0.3574265838,train,dev,dev,train,0,0,0,0,1,0,0,0,2,0,0,2
HeStutters,1,125,9227520,9275520,9211520,9291520,TRUE,Pamela Mertz,0.2848344743,,train,test,test,0,0,0,2,2,0,0,0,0,0,0,0
HeStutters,1,126,9375360,9423360,9359360,9439360,TRUE,Pamela Mertz,0.505544126,,train,test,test,0,1,0,0,0,0,1,1,3,0,0,0
HeStutters,1,127,9410720,9458720,9394720,9474720,TRUE,Pamela Mertz,0.2867150903,,train,test,test,0,0,0,0,3,1,0,0,0,0,0,0
HeStutters,1,128,9708320,9756320,9692320,9772320,TRUE,Pamela Mertz,0.55971241,,train,test,test,0,0,1,1,0,0,0,0,1,1,0,0
HeStutters,1,129,9746240,9794240,9730240,9810240,FALSE,HeStutters_1_1,-0.02629934438,train,dev,dev,train,0,1,2,2,2,0,2,0,0,0,0,0
HeStutters,1,130,10119040,10167040,10103040,10183040,TRUE,Pamela Mertz,0.5740145445,,train,test,test,0,0,0,1,1,0,1,0,2,0,0,0
HeStutters,1,131,10160800,10208800,10144800,10224800,TRUE,Pamela Mertz,0.4913711846,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,1,132,10280320,10328320,10264320,10344320,TRUE,Pamela Mertz,0.5060088634,,train,test,test,0,0,0,2,0,0,0,0,1,0,0,0
